Size, Runtime
10, 1.52e-05
10, 1.26e-05
10, 6.95e-05
10, 2.79e-05
10, 1.3e-05
10, 1.28e-05
10, 1.31e-05
10, 2.14e-05
10, 1.24e-05
10, 1.25e-05
10, 1.26e-05
10, 1.26e-05
10, 1.26e-05
10, 1.23e-05
10, 1.27e-05
10, 1.28e-05
10, 1.32e-05
10, 1.25e-05
10, 1.28e-05
10, 1.27e-05
10, 1.29e-05
10, 1.31e-05
10, 1.25e-05
10, 1.28e-05
10, 1.28e-05
10, 2.05e-05
10, 1.29e-05
10, 1.25e-05
10, 1.22e-05
10, 1.24e-05
10, 1.26e-05
10, 1.27e-05
10, 2.06e-05
10, 1.29e-05
10, 1.26e-05
10, 1.22e-05
10, 1.24e-05
10, 1.21e-05
10, 1.24e-05
10, 1.24e-05
10, 1.22e-05
10, 1.27e-05
10, 1.23e-05
10, 1.25e-05
10, 1.28e-05
10, 1.28e-05
10, 2.05e-05
10, 1.26e-05
10, 1.25e-05
10, 1.22e-05
100, 0.0002254
100, 0.0002312
100, 0.0002208
100, 0.0002198
100, 0.000232
100, 0.0002232
100, 0.0002185
100, 0.0002302
100, 0.0002286
100, 0.0002238
100, 0.0002211
100, 0.000219
100, 0.0002308
100, 0.0002323
100, 0.0002298
100, 0.0002734
100, 0.0002306
100, 0.0002305
100, 0.0002299
100, 0.0002208
100, 0.0002196
100, 0.0002315
100, 0.0002303
100, 0.0002307
100, 0.0002205
100, 0.0002206
100, 0.0002283
100, 0.0002487
100, 0.0002335
100, 0.0002191
100, 0.0002202
100, 0.000232
100, 0.0002548
100, 0.0002199
100, 0.0002282
100, 0.0002194
100, 0.0002344
100, 0.0002209
100, 0.0002478
100, 0.0002399
100, 0.0002202
100, 0.0002209
100, 0.0002784
100, 0.0002312
100, 0.0002294
100, 0.00023
100, 0.0002268
100, 0.0002214
100, 0.0002331
100, 0.0002212
1000, 0.0096512
1000, 0.0090799
1000, 0.0093917
1000, 0.0092204
1000, 0.0093627
1000, 0.0092922
1000, 0.0093056
1000, 0.0094595
1000, 0.0092408
1000, 0.009181
1000, 0.0093906
1000, 0.0090823
1000, 0.0091893
1000, 0.0091221
1000, 0.0090806
1000, 0.0091036
1000, 0.00906
1000, 0.0092945
1000, 0.0090975
1000, 0.009153
1000, 0.0092587
1000, 0.0094168
1000, 0.0093309
1000, 0.0092264
1000, 0.0094113
1000, 0.0092032
1000, 0.0091785
1000, 0.0092959
1000, 0.009052
1000, 0.0092667
1000, 0.0090658
1000, 0.0090915
1000, 0.009066
1000, 0.0090845
1000, 0.0092344
1000, 0.0093895
1000, 0.0091558
1000, 0.0093293
1000, 0.0091538
1000, 0.0093239
1000, 0.0091833
1000, 0.0092316
1000, 0.0093748
1000, 0.0093992
1000, 0.0091364
1000, 0.0090444
1000, 0.0091266
1000, 0.0091446
1000, 0.0090497
1000, 0.0091056
10000, 0.858449
10000, 0.730684
10000, 0.729043
10000, 0.73046
10000, 0.729071
10000, 0.729103
10000, 0.728823
10000, 0.728318
10000, 0.729399
10000, 0.729226
10000, 0.732773
10000, 0.728879
10000, 0.728982
10000, 0.760414
10000, 0.72962
10000, 0.728308
10000, 0.728401
10000, 0.729043
10000, 0.728435
10000, 0.728588
10000, 0.728635
10000, 0.83085
10000, 0.729054
10000, 0.728818
10000, 0.729077
10000, 0.728074
10000, 0.728504
10000, 0.728565
10000, 0.728953
10000, 0.729091
10000, 0.728492
10000, 0.728446
10000, 0.729215
10000, 0.729073
10000, 0.730304
10000, 0.729299
10000, 0.729103
10000, 0.728844
10000, 0.729153
10000, 0.750416
10000, 0.730175
10000, 0.727645
10000, 0.730779
10000, 0.731356
10000, 0.730488
10000, 0.729101
10000, 0.731751
10000, 0.729969
10000, 0.728513
10000, 0.728559
40000, 15.2491
40000, 16.5972
40000, 14.9094
40000, 13.821
40000, 12.6144
40000, 11.8617
40000, 11.6336
40000, 11.596
40000, 12.3312
40000, 12.1933
40000, 11.6343
40000, 11.6198
40000, 11.7504
40000, 11.6508
40000, 11.6821
40000, 11.6329
40000, 11.6809
40000, 11.6607
40000, 11.6416
40000, 11.6219
40000, 11.6511
40000, 11.6429
40000, 11.6163
40000, 11.7182
40000, 11.6396
40000, 11.6532
40000, 11.6458
40000, 11.6326
40000, 11.6491
40000, 11.6737
40000, 11.5979
40000, 11.6438
40000, 11.6057
40000, 11.9206
40000, 11.6144
40000, 11.6511
40000, 11.5968
40000, 11.6499
40000, 11.5916
40000, 11.7184
40000, 11.6267
40000, 12.5348
40000, 11.5984
40000, 11.6401
40000, 11.6107
40000, 11.6395
40000, 11.6011
40000, 11.7405
40000, 11.6984
40000, 11.8138
